Bait	Prey	PreyGene	Intensity	IntensitySum	AvgIntensity	NumReplicates	ctrlIntensity	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	OddsScore	FoldChange	BFDR	boosted_by
PSMC2	A0AVF1	A0AVF1	0.769|1.120|0.959|0.791	3.639	0.910	4	0.507|0.677|0.508|0.639	0.005	0.019	0.005	0.019	0.005	-12.751	1.575	0.601	
PSMC2	A0AVT1	A0AVT1	0.924|1.212|1.461|1.261	4.858	1.214	4	0.614|0.622|0.643|0.760	0.240	0.946	0.240	0.946	0.240	-12.006	1.848	0.387	
PSMC2	A0FGR8	A0FGR8	1.696|1.829|1.691|1.711	6.927	1.732	4	2.010|2.517|1.987|1.842	0.000	0.000	0.000	0.000	0.000	-14.552	0.835	0.839	
PSMC2	A0JNW5	A0JNW5	1.277|1.351|1.436|1.128	5.192	1.298	4	0.574|0.458|0.578|0.277	0.934	0.994	0.934	0.994	0.934	1.349	2.865	0.007	
PSMC2	A0MZ66	A0MZ66	2.941|3.236|3.066|2.944	12.188	3.047	4	1.615|1.322|1.435|1.598	0.370	0.909	0.370	0.909	0.370	-2.749	2.049	0.271	
PSMC2	A1A4S6	A1A4S6	0.985|0.915|0.848|0.753	3.501	0.875	4	0.670|0.505|0.595|0.572	0.000	0.000	0.000	0.000	0.000	-13.107	1.502	0.702	
PSMC2	A1KXE4	A1KXE4	1.857|2.889|2.043|2.532	9.321	2.330	4	5.490|8.017|7.292|6.856	0.000	0.000	0.000	0.000	0.000	-14.552	0.340	0.884	
PSMC2	A1L0T0	A1L0T0	1.269|1.346|1.179|1.501	5.295	1.324	4	1.495|1.776|1.797|1.417	0.000	0.000	0.000	0.000	0.000	-14.552	0.821	0.839	
PSMC2	A1L170	A1L170	1.636|1.866|0.948|1.435	5.885	1.471	4	2.434|1.516|1.063|1.194	0.000	0.000	0.000	0.000	0.000	-14.552	1.000	0.698	
PSMC2	A1L390	A1L390	0.618|0.807|0.699|0.955	3.079	0.770	4	0.996|0.316|0.416|0.293	0.071	0.167	0.071	0.167	0.071	-4.156	1.739	0.490	
PSMC2	A1L3X0	A1L3X0	0.280|0.451|0.332|0.323	1.386	0.347	4	0.289|0.684|0.229|0.170	0.011	0.030	0.011	0.030	0.011	-5.926	1.170	0.579	
PSMC2	A1X283	A1X283	1.343|1.276|1.656|1.082	5.356	1.339	4	0.530|0.872|0.888|0.694	0.221	0.873	0.221	0.873	0.221	-11.605	1.833	0.406	
PSMC2	A1XBS5	A1XBS5	0.821|0.498|0.494|0.851	2.664	0.666	4	0.855|0.713|0.869|0.705	0.000	0.000	0.000	0.000	0.000	-14.552	0.852	0.810	
PSMC2	A2RRP1	A2RRP1	0.761|0.600|0.790|0.728	2.879	0.720	4	0.399|0.412|0.370|0.291	0.408	0.899	0.408	0.899	0.408	-9.110	1.974	0.253	
PSMC2	A2RTX5	A2RTX5	0.519|0.663|0.440|0.552	2.174	0.544	4	0.718|0.486|0.391|0.597	0.000	0.000	0.000	0.000	0.000	-14.552	1.017	0.803	
PSMC2	A2RUB6	A2RUB6	0.484|0.567|0.547|0.477	2.075	0.519	4	0.279|0.275|0.434|0.181	0.066	0.143	0.066	0.143	0.066	-4.320	1.863	0.494	
PSMC2	A2RUS2	A2RUS2	0.530|0.540|0.503|0.531	2.104	0.526	4	0.205|0.270|0.229|0.237	0.946	0.977	0.946	0.977	0.946	1.945	2.245	0.006	
PSMC2	A3KMH1	A3KMH1	0.737|0.636|0.728|0.704	2.805	0.701	4	1.142|1.164|0.899|0.942	0.000	0.000	0.000	0.000	0.000	-14.552	0.681	0.839	
PSMC2	A3KN83	A3KN83	0.597|0.753|0.693|0.703	2.746	0.687	4	0.882|1.295|1.233|1.089	0.000	0.000	0.000	0.000	0.000	-14.552	0.617	0.839	
PSMC2	A4D1E9	A4D1E9	0.301|0.292|0.296|0.321	1.209	0.302	4	0.482|0.649|0.566|0.465	0.000	0.000	0.000	0.000	0.000	-14.552	0.565	0.839	
PSMC2	A5LHX3	A5LHX3	0.173|0.317|0.137|0.221	0.848	0.212	4	0.366|0.164|0.279|0.346	0.009	0.014	0.009	0.014	0.009	-5.312	0.768	0.585	
PSMC2	A5YKK6	A5YKK6	1.607|1.612|1.741|1.948	6.908	1.727	4	0.684|0.958|0.741|0.673	0.917	0.998	0.917	0.998	0.917	1.661	2.285	0.009	
PSMC2	A6H8Y1	A6H8Y1	0.122|0.108|0.099|0.077	0.406	0.101	4	0.192|0.102|0.149|0.211	0.000	0.000	0.000	0.000	0.000	-14.552	0.644	0.875	
PSMC2	A6NDU8	A6NDU8	0.784|0.652|0.759|0.835	3.030	0.757	4	0.551|0.520|0.366|0.273	0.057	0.142	0.057	0.142	0.057	-6.061	1.840	0.501	
PSMC2	A6NEK1	A6NEK1	38.216|12.196|14.285|19.748	84.444	21.111	4	184.794|121.662|218.429|235.357	0.000	0.000	0.000	0.000	0.000	-14.552	0.114	0.828	
PSMC2	A6NFI3	A6NFI3	0.645|0.998|0.533|1.091	3.267	0.817	4	1.257|1.234|0.936|1.056	0.000	0.000	0.000	0.000	0.000	-14.552	0.734	0.831	
PSMC2	A6NHL2	A6NHL2	1.007|0.272|24.780|12.577	38.637	9.659	4	1.462|0.571|0.170|0.785	0.500	1.000	0.500	1.000	0.500	-14.150	16.728	0.163	
PSMC2	A6NHR9	A6NHR9	1.107|1.125|1.128|1.072	4.431	1.108	4	2.160|2.114|2.395|2.961	0.000	0.000	0.000	0.000	0.000	-14.552	0.464	0.839	
PSMC2	A6NIH7	A6NIH7	1.353|1.159|1.138|1.002	4.652	1.163	4	0.816|0.436|0.580|0.910	0.049	0.168	0.049	0.168	0.049	-6.560	1.767	0.510	
PSMC2	A6NKD9	A6NKD9	2.139|1.592|2.209|1.332	7.272	1.818	4	0.755|0.627|0.494|0.797	0.794	1.000	0.794	1.000	0.794	-1.510	2.767	0.027	
PSMC2	A6QL63	A6QL63	0.217|0.230|0.156|0.320	0.923	0.231	4	0.107|0.077|0.061|0.097	0.754	1.000	0.754	1.000	0.754	-3.919	2.767	0.038	
PSMC2	A7E2V4	A7E2V4	0.544|0.479|0.424|0.638	2.086	0.521	4	1.390|0.884|1.094|1.250	0.000	0.000	0.000	0.000	0.000	-14.552	0.458	0.877	
PSMC2	A7KAX9	A7KAX9	0.917|1.247|1.172|1.018	4.354	1.089	4	0.985|1.487|1.224|1.196	0.000	0.000	0.000	0.000	0.000	-14.552	0.900	0.820	
PSMC2	A7MCY6	A7MCY6	1.025|1.028|1.109|0.909	4.071	1.018	4	0.357|0.368|0.305|0.280	1.000	1.000	1.000	1.000	1.000	7.596	3.126	0.000	
PSMC2	A8CG34	A8CG34	2.345|2.639|2.113|3.242	10.340	2.585	4	4.400|3.854|5.272|5.527	0.000	0.000	0.000	0.000	0.000	-14.552	0.548	0.839	
PSMC2	A8MQ14	A8MQ14	0.230|0.140|0.173|0.119	0.662	0.166	4	0.183|0.151|0.209|0.198	0.000	0.000	0.000	0.000	0.000	-14.552	0.900	0.789	
PSMC2	A8MTY0	A8MTY0	0.596|0.760|0.793|0.658	2.806	0.701	4	0.980|1.512|1.233|1.152	0.000	0.000	0.000	0.000	0.000	-14.552	0.582	0.875	
PSMC2	A8MV65	A8MV65	0.488|0.476|0.914|0.782	2.660	0.665	4	0.581|0.945|0.663|0.586	0.000	0.000	0.000	0.000	0.000	-14.552	0.978	0.788	
PSMC2	A8MVW0	A8MVW0	1.256|1.161|1.433|1.332	5.183	1.296	4	0.051|0.262|0.043|0.143	0.996	0.998	0.996	0.998	0.996	5.210	13.590	0.000	
PSMC2	A8MXV4	A8MXV4	0.480|0.332|0.494|0.229	1.535	0.384	4	0.126|0.116|0.053|0.026	0.889	0.986	0.889	0.986	0.889	0.673	5.711	0.012	
PSMC2	B1AJZ9	B1AJZ9	5.118|4.118|6.243|5.309	20.788	5.197	4	0.417|0.305|1.258|5.181	0.749	0.798	0.749	0.798	0.749	0.813	5.448	0.049	
PSMC2	B2RTY4	B2RTY4	0.686|0.789|0.757|0.701	2.932	0.733	4	0.583|0.448|0.545|0.507	0.000	0.000	0.000	0.000	0.000	-12.823	1.415	0.735	
PSMC2	B7ZAP0	B7ZAP0	1.955|1.407|1.399|1.151	5.912	1.478	4	1.346|1.048|1.099|1.136	0.000	0.000	0.000	0.000	0.000	-14.552	1.283	0.704	
PSMC2	C9JLW8	C9JLW8	3.205|2.930|3.322|3.483	12.941	3.235	4	2.770|2.855|2.606|2.474	0.000	0.000	0.000	0.000	0.000	-14.365	1.211	0.775	
PSMC2	O00116	O00116	0.894|1.139|0.972|1.100	4.105	1.026	4	1.044|1.527|1.563|1.050	0.000	0.000	0.000	0.000	0.000	-14.552	0.807	0.878	
PSMC2	O00139	O00139	2.745|2.871|2.477|2.393	10.486	2.621	4	1.945|2.570|2.344|2.287	0.000	0.000	0.000	0.000	0.000	-14.496	1.152	0.782	
PSMC2	O00148	O00148	4.363|4.146|4.373|3.585	16.467	4.117	4	4.416|5.004|4.960|4.162	0.000	0.000	0.000	0.000	0.000	-14.552	0.891	0.839	
PSMC2	O00151	O00151	4.257|4.340|3.863|3.614	16.073	4.018	4	1.603|1.601|1.544|1.412	0.995	1.000	0.995	1.000	0.995	4.222	2.612	0.001	
PSMC2	O00154	O00154	1.210|2.565|1.479|2.535	7.789	1.947	4	3.332|4.987|4.054|3.285	0.000	0.000	0.000	0.000	0.000	-14.552	0.505	0.879	
PSMC2	O00159	O00159	0.975|0.686|0.771|0.816	3.248	0.812	4	1.853|1.078|1.269|1.548	0.000	0.000	0.000	0.000	0.000	-14.552	0.577	0.839	
PSMC2	O00161	O00161	1.380|1.365|1.423|1.316	5.485	1.371	4	1.138|1.235|1.068|1.076	0.000	0.000	0.000	0.000	0.000	-14.023	1.216	0.777	
PSMC2	O00165	O00165	1.987|1.963|2.136|2.778	8.864	2.216	4	1.867|3.244|1.960|1.768	0.000	0.000	0.000	0.000	0.000	-14.552	1.035	0.770	
PSMC2	O00170	O00170	2.530|2.713|2.657|2.349	10.249	2.562	4	0.485|0.621|0.615|0.587	1.000	1.000	1.000	1.000	1.000	10.448	4.462	0.000	
PSMC2	O00178	O00178	1.553|1.365|1.444|1.260	5.621	1.405	4	1.988|2.288|1.456|1.607	0.000	0.000	0.000	0.000	0.000	-14.552	0.778	0.831	
PSMC2	O00186	O00186	1.123|1.216|1.097|1.263	4.698	1.175	4	0.960|1.658|1.509|0.938	0.000	0.000	0.000	0.000	0.000	-14.552	0.959	0.822	
PSMC2	O00193	O00193	0.724|0.798|0.764|0.592	2.878	0.720	4	1.220|1.296|1.518|1.199	0.000	0.000	0.000	0.000	0.000	-14.552	0.553	0.839	
PSMC2	O00203	O00203	2.208|2.177|2.556|2.570	9.512	2.378	4	1.458|1.944|1.623|1.199	0.000	0.000	0.000	0.000	0.000	-12.540	1.551	0.720	
PSMC2	O00213	O00213	1.763|1.921|1.847|2.083	7.614	1.904	4	1.229|1.124|0.890|1.031	0.010	0.040	0.010	0.040	0.010	-8.885	1.794	0.582	
PSMC2	O00217	O00217	1.129|0.917|1.172|1.107	4.325	1.081	4	0.959|1.129|1.087|0.979	0.000	0.000	0.000	0.000	0.000	-14.552	1.044	0.801	
PSMC2	O00221	O00221	1.059|1.411|1.246|0.982	4.697	1.174	4	0.479|0.277|0.383|0.186	0.980	0.999	0.980	0.999	0.980	2.927	3.765	0.003	
PSMC2	O00231	O00231	2.829|2.283|3.209|2.248	10.570	2.642	4	0.474|0.797|0.585|0.541	1.000	1.000	1.000	1.000	1.000	10.419	4.492	0.000	
PSMC2	O00232	O00232	2.235|2.416|2.760|1.982	9.393	2.348	4	0.629|0.751|0.587|0.615	1.000	1.000	1.000	1.000	1.000	8.972	3.656	0.000	
PSMC2	O00233	O00233	11.442|12.209|12.766|8.413	44.831	11.208	4	0.780|0.497|0.900|0.618	1.000	1.000	1.000	1.000	1.000	10.632	16.440	0.000	
PSMC2	O00255	O00255	2.379|2.292|2.170|2.184	9.025	2.256	4	1.236|2.261|1.589|1.119	0.001	0.002	0.001	0.002	0.001	-8.054	1.511	0.642	
PSMC2	O00257	O00257	1.002|1.345|0.985|1.200	4.531	1.133	4	2.339|2.910|2.280|2.085	0.000	0.000	0.000	0.000	0.000	-14.552	0.475	0.839	
PSMC2	O00264	O00264	1.495|1.410|1.389|1.629	5.923	1.481	4	1.076|1.833|1.168|1.061	0.000	0.000	0.000	0.000	0.000	-14.442	1.184	0.792	
PSMC2	O00267	O00267	0.753|1.145|0.702|0.663	3.263	0.816	4	1.041|0.880|1.052|1.180	0.000	0.000	0.000	0.000	0.000	-14.552	0.790	0.809	
PSMC2	O00268	O00268	0.836|0.833|0.908|1.027	3.603	0.901	4	1.440|2.272|1.518|1.290	0.000	0.000	0.000	0.000	0.000	-14.552	0.566	0.878	
PSMC2	O00273	O00273	0.417|0.399|0.451|0.361	1.627	0.407	4	0.285|0.264|0.392|0.061	0.111	0.141	0.111	0.141	0.111	-2.411	1.974	0.462	
PSMC2	O00287	O00287	0.116|0.265|0.210|0.118	0.709	0.177	4	0.112|0.498|0.331|0.286	0.002	0.005	0.002	0.005	0.002	-10.347	0.658	0.629	
PSMC2	O00291	O00291	0.756|0.588|0.795|0.847	2.986	0.746	4	0.226|0.454|0.265|0.437	0.507	0.841	0.507	0.841	0.507	-3.783	2.262	0.142	
PSMC2	O00299	O00299	0.717|0.634|0.819|0.654	2.824	0.706	4	0.499|0.653|1.296|0.652	0.000	0.000	0.000	0.000	0.000	-11.300	0.975	0.698	
PSMC2	O00303	O00303	1.534|1.803|1.856|3.058	8.251	2.063	4	1.800|2.155|1.701|1.717	0.000	0.000	0.000	0.000	0.000	-14.552	1.124	0.711	
PSMC2	O00311	O00311	0.940|1.205|1.214|1.273	4.632	1.158	4	1.480|1.974|1.792|1.683	0.000	0.000	0.000	0.000	0.000	-14.552	0.672	0.881	
PSMC2	O00330	O00330	1.332|1.238|1.170|1.062	4.802	1.200	4	2.043|2.805|2.465|2.133	0.000	0.000	0.000	0.000	0.000	-14.552	0.512	0.839	
PSMC2	O00370	O00370	0.170|0.247|0.334|0.254	1.005	0.251	4	0.078|0.038|0.112|0.227	0.031	0.112	0.031	0.112	0.031	-9.679	2.686	0.536	
PSMC2	O00400	O00400	0.781|0.831|0.773|0.808	3.193	0.798	4	0.684|1.089|0.836|0.717	0.000	0.000	0.000	0.000	0.000	-14.552	0.976	0.823	
PSMC2	O00401	O00401	0.719|1.406|0.986|1.310	4.421	1.105	4	0.801|1.003|1.658|2.775	0.001	0.002	0.001	0.002	0.001	-11.139	0.797	0.640	
PSMC2	O00410	O00410	2.288|1.956|1.924|1.661	7.829	1.957	4	1.805|1.531|1.301|1.369	0.000	0.000	0.000	0.000	0.000	-14.291	1.314	0.738	
PSMC2	O00411	O00411	0.772|0.816|0.727|0.730	3.044	0.761	4	1.254|1.396|1.216|0.918	0.000	0.000	0.000	0.000	0.000	-14.552	0.644	0.877	
PSMC2	O00418	O00418	0.749|0.626|0.775|0.692	2.842	0.710	4	0.417|0.318|0.581|0.804	0.004	0.007	0.004	0.007	0.004	-7.361	1.425	0.610	
PSMC2	O00422	O00422	0.731|0.559|0.550|0.596	2.437	0.609	4	2.456|1.243|2.150|2.881	0.000	0.000	0.000	0.000	0.000	-14.552	0.292	0.839	
PSMC2	O00423	O00423	1.463|1.510|1.412|1.005	5.390	1.347	4	0.869|0.831|0.799|0.584	0.021	0.070	0.021	0.070	0.021	-12.985	1.768	0.554	
PSMC2	O00425	O00425	3.131|3.101|2.877|3.443	12.552	3.138	4	5.237|6.463|6.161|6.163	0.000	0.000	0.000	0.000	0.000	-14.552	0.524	0.839	
PSMC2	O00429	O00429	1.538|1.311|1.505|1.268	5.622	1.405	4	1.202|1.258|1.017|0.964	0.000	0.000	0.000	0.000	0.000	-14.129	1.274	0.758	
PSMC2	O00442	O00442	1.453|1.743|1.445|2.143	6.785	1.696	4	2.473|2.614|2.620|2.572	0.000	0.000	0.000	0.000	0.000	-14.552	0.660	0.839	
PSMC2	O00443	O00443	1.822|1.995|1.891|2.064	7.771	1.943	4	2.197|2.852|2.628|2.598	0.000	0.000	0.000	0.000	0.000	-14.552	0.760	0.839	
PSMC2	O00458	O00458	0.384|0.235|0.212|0.310	1.142	0.285	4	0.390|0.460|0.564|0.454	0.000	0.000	0.000	0.000	0.000	-14.552	0.617	0.839	
PSMC2	O00459	O00459	1.782|1.549|1.665|1.809	6.805	1.701	4	1.200|0.833|0.878|1.225	0.000	0.001	0.000	0.001	0.000	-11.699	1.671	0.672	
PSMC2	O00463	O00463	0.969|0.963|0.993|0.873	3.799	0.950	4	0.286|0.296|0.236|0.628	0.795	0.868	0.795	0.868	0.795	0.594	2.838	0.027	
PSMC2	O00468	O00468	0.205|0.159|0.191|0.142	0.697	0.174	4	0.716|0.162|0.355|0.821	0.000	0.001	0.000	0.001	0.000	-9.537	0.406	0.667	
PSMC2	O00469	O00469	0.323|0.275|0.322|0.176	1.095	0.274	4	0.221|0.211|0.166|0.126	0.005	0.011	0.005	0.011	0.005	-14.552	1.550	0.598	
PSMC2	O00471	O00471	1.444|1.132|1.135|0.992	4.703	1.176	4	0.354|0.224|0.434|0.286	1.000	1.000	1.000	1.000	1.000	8.357	3.729	0.000	
PSMC2	O00483	O00483	3.227|3.394|3.173|2.465	12.259	3.065	4	3.180|3.969|4.123|2.702	0.000	0.000	0.000	0.000	0.000	-14.552	0.890	0.828	
PSMC2	O00487	O00487	2.157|2.489|2.466|2.352	9.464	2.366	4	1.340|2.286|1.880|1.539	0.000	0.000	0.000	0.000	0.000	-13.942	1.371	0.768	
PSMC2	O00505	O00505	0.635|1.028|0.655|0.908	3.227	0.807	4	0.786|0.676|0.750|0.803	0.000	0.000	0.000	0.000	0.000	-14.552	1.073	0.771	
PSMC2	O00512	O00512	0.735|0.650|0.787|0.845	3.017	0.754	4	0.852|1.018|0.813|1.024	0.000	0.000	0.000	0.000	0.000	-14.552	0.818	0.839	
PSMC2	O00541	O00541	0.716|0.370|0.434|0.775	2.295	0.574	4	1.507|1.741|1.193|2.465	0.000	0.000	0.000	0.000	0.000	-14.552	0.344	0.839	
PSMC2	O00560	O00560	0.812|0.980|0.831|0.848	3.471	0.868	4	0.443|0.325|0.426|0.159	0.626	0.831	0.626	0.831	0.626	0.047	2.763	0.094	
PSMC2	O00566	O00566	0.750|0.395|0.573|0.671	2.390	0.597	4	1.691|1.443|2.131|3.342	0.000	0.000	0.000	0.000	0.000	-14.552	0.293	0.875	
PSMC2	O00567	O00567	0.953|0.946|0.839|1.179	3.918	0.979	4	3.329|2.286|2.459|4.607	0.000	0.000	0.000	0.000	0.000	-14.552	0.321	0.880	
PSMC2	O00571	O00571	2.749|4.245|3.360|3.385	13.740	3.435	4	4.632|6.086|4.259|5.096	0.000	0.000	0.000	0.000	0.000	-14.552	0.691	0.839	
PSMC2	O00629	O00629	0.444|0.387|0.406|0.373	1.610	0.403	4	0.497|0.554|0.449|0.446	0.000	0.000	0.000	0.000	0.000	-14.552	0.831	0.839	
PSMC2	O00712	O00712	0.807|1.115|0.975|1.183	4.080	1.020	4	2.242|2.740|2.861|2.469	0.000	0.000	0.000	0.000	0.000	-14.552	0.397	0.839	
PSMC2	O00716	O00716	0.723|0.433|0.500|0.461	2.116	0.529	4	0.367|0.239|1.257|1.147	0.015	0.032	0.015	0.032	0.015	-4.892	0.887	0.568	
PSMC2	O00743	O00743	3.335|3.376|3.846|3.359	13.916	3.479	4	1.101|1.372|1.209|1.329	0.999	1.000	0.999	1.000	0.999	6.872	2.788	0.000	
PSMC2	O00750	O00750	1.118|1.072|1.063|0.970	4.223	1.056	4	0.424|0.421|0.424|0.320	0.998	1.000	0.998	1.000	0.998	5.234	2.675	0.000	
PSMC2	O00763	O00763	1.623|1.716|1.855|1.622	6.815	1.704	4	2.811|3.099|2.606|2.276	0.000	0.000	0.000	0.000	0.000	-14.552	0.635	0.839	
PSMC2	O00764	O00764	0.438|0.450|0.431|0.420	1.740	0.435	4	0.628|0.511|0.461|0.573	0.000	0.000	0.000	0.000	0.000	-14.552	0.806	0.839	
PSMC2	O00767	O00767	0.905|1.170|1.007|1.013	4.095	1.024	4	2.078|4.742|3.879|3.033	0.000	0.000	0.000	0.000	0.000	-14.552	0.312	0.881	
PSMC2	O14492	O14492	0.696|1.104|0.879|1.129	3.808	0.952	4	0.331|0.496|0.418|0.302	0.742	1.000	0.742	1.000	0.742	-5.279	2.506	0.059	
PSMC2	O14497	O14497	0.807|0.928|0.826|0.870	3.430	0.858	4	1.075|1.294|1.231|1.311	0.000	0.000	0.000	0.000	0.000	-14.552	0.701	0.839	
PSMC2	O14519	O14519	0.305|0.327|0.355|0.228	1.215	0.304	4	0.335|0.471|0.424|0.385	0.000	0.000	0.000	0.000	0.000	-14.552	0.759	0.839	
PSMC2	O14524	O14524	7.279|6.954|7.515|7.708	29.456	7.364	4	3.035|4.516|4.289|4.150	0.009	0.029	0.009	0.029	0.009	-7.937	1.863	0.583	
PSMC2	O14530	O14530	0.783|0.740|0.788|0.816	3.127	0.782	4	0.633|0.802|0.937|0.691	0.000	0.000	0.000	0.000	0.000	-14.552	1.032	0.811	
PSMC2	O14531	O14531	2.144|2.331|2.299|2.636	9.410	2.353	4	1.003|1.155|1.043|0.871	0.935	0.998	0.935	0.998	0.935	1.386	2.322	0.006	
PSMC2	O14559	O14559	0.931|1.455|1.330|1.548	5.265	1.316	4	2.550|3.364|2.494|2.336	0.000	0.000	0.000	0.000	0.000	-14.552	0.495	0.839	
PSMC2	O14562	O14562	4.511|5.382|5.062|4.580	19.535	4.884	4	5.127|1.440|1.815|1.640	0.203	0.296	0.203	0.296	0.203	-1.830	2.255	0.418	
PSMC2	O14578	O14578	0.740|0.688|0.771|0.807	3.005	0.751	4	1.202|0.867|0.768|1.077	0.000	0.000	0.000	0.000	0.000	-14.552	0.780	0.875	
PSMC2	O14579	O14579	1.238|1.352|1.365|0.889	4.845	1.211	4	0.778|0.881|0.882|0.863	0.000	0.000	0.000	0.000	0.000	-14.507	1.425	0.713	
PSMC2	O14617	O14617	2.090|1.980|2.162|1.664	7.897	1.974	4	1.201|1.269|1.288|1.185	0.000	0.000	0.000	0.000	0.000	-12.595	1.599	0.678	
PSMC2	O14628	O14628	0.686|0.470|0.667|0.697	2.520	0.630	4	0.843|1.106|0.920|0.776	0.000	0.000	0.000	0.000	0.000	-14.552	0.697	0.839	
PSMC2	O14639	O14639	1.548|1.379|1.561|1.268	5.756	1.439	4	2.499|1.506|1.796|1.874	0.000	0.000	0.000	0.000	0.000	-14.552	0.763	0.883	
PSMC2	O14640	O14640	0.656|0.954|0.803|0.590	3.003	0.751	4	0.415|0.455|0.532|0.475	0.078	0.314	0.078	0.314	0.078	-13.359	1.606	0.482	
PSMC2	O14641	O14641	2.850|3.104|3.105|2.977	12.036	3.009	4	1.964|1.828|1.425|1.672	0.001	0.001	0.001	0.001	0.001	-8.813	1.760	0.645	
PSMC2	O14646	O14646	0.723|0.502|0.421|0.528	2.173	0.543	4	2.306|1.523|2.605|3.074	0.000	0.000	0.000	0.000	0.000	-14.552	0.236	0.834	
PSMC2	O14647	O14647	0.368|0.309|0.454|0.353	1.482	0.371	4	0.855|0.806|0.883|1.174	0.000	0.000	0.000	0.000	0.000	-14.552	0.403	0.839	
PSMC2	O14654	O14654	6.159|6.321|5.623|4.578	22.682	5.670	4	3.528|1.909|2.503|3.235	0.446	0.831	0.446	0.831	0.446	-6.192	2.087	0.237	
PSMC2	O14657	O14657	5.014|3.067|4.891|6.585	19.557	4.889	4	4.037|0.625|3.771|1.972	0.116	0.430	0.116	0.430	0.116	-13.004	2.349	0.459	
PSMC2	O14681	O14681	7.695|7.656|8.436|7.975	31.762	7.941	4	11.328|16.813|16.500|11.763	0.000	0.000	0.000	0.000	0.000	-14.552	0.573	0.830	
PSMC2	O14683	O14683	0.515|0.374|0.517|0.339	1.745	0.436	4	0.536|0.485|0.644|0.361	0.000	0.000	0.000	0.000	0.000	-14.552	0.880	0.818	
PSMC2	O14686	O14686	1.249|1.427|1.234|1.240	5.150	1.287	4	1.540|2.137|1.806|1.542	0.000	0.000	0.000	0.000	0.000	-14.552	0.740	0.882	
PSMC2	O14727	O14727	0.682|0.687|0.688|0.645	2.702	0.676	4	0.198|0.314|0.145|0.143	0.997	0.998	0.997	0.998	0.997	5.169	3.567	0.000	
PSMC2	O14732	O14732	1.232|1.542|1.616|1.449	5.838	1.459	4	0.840|1.545|0.997|0.827	0.000	0.001	0.000	0.001	0.000	-12.988	1.435	0.666	
PSMC2	O14733	O14733	1.006|1.404|1.396|1.371	5.176	1.294	4	1.568|1.995|1.747|1.657	0.000	0.000	0.000	0.000	0.000	-14.552	0.746	0.839	
PSMC2	O14734	O14734	2.859|3.494|3.075|3.546	12.975	3.244	4	2.693|6.167|3.419|2.797	0.000	0.000	0.000	0.000	0.000	-13.737	0.914	0.734	
PSMC2	O14735	O14735	2.384|2.290|2.326|1.058	8.057	2.014	4	1.323|0.778|1.247|1.134	0.357	0.647	0.357	0.647	0.357	-14.552	1.834	0.278	
PSMC2	O14737	O14737	2.967|3.355|3.862|3.586	13.770	3.442	4	1.029|1.287|1.357|1.237	0.998	1.000	0.998	1.000	0.998	4.990	2.820	0.000	
PSMC2	O14744	O14744	3.927|3.900|3.843|4.245	15.916	3.979	4	3.509|3.187|3.224|3.479	0.000	0.000	0.000	0.000	0.000	-14.132	1.189	0.780	
PSMC2	O14745	O14745	0.558|0.945|0.630|0.515	2.648	0.662	4	0.322|0.456|0.516|0.590	0.053	0.211	0.053	0.211	0.053	-14.426	1.439	0.505	
PSMC2	O14757	O14757	0.557|0.922|0.750|0.570	2.799	0.700	4	0.898|1.073|1.039|0.919	0.000	0.000	0.000	0.000	0.000	-14.552	0.714	0.839	
PSMC2	O14772	O14772	0.483|0.408|0.262|0.264	1.417	0.354	4	0.345|0.394|0.445|0.329	0.000	0.000	0.000	0.000	0.000	-14.552	0.943	0.784	
PSMC2	O14776	O14776	1.074|1.151|1.278|1.366	4.869	1.217	4	1.729|2.269|1.907|1.842	0.000	0.000	0.000	0.000	0.000	-14.552	0.632	0.839	
PSMC2	O14777	O14777	1.128|0.972|1.189|0.843	4.132	1.033	4	0.632|0.624|0.634|0.570	0.005	0.017	0.005	0.017	0.005	-12.357	1.681	0.602	
PSMC2	O14787	O14787	0.480|0.481|0.426|0.340	1.726	0.432	4	0.251|0.217|0.185|0.173	0.645	0.985	0.645	0.985	0.645	-8.905	2.109	0.090	
PSMC2	O14795	O14795	0.688|0.656|0.754|0.641	2.739	0.685	4	0.273|0.281|0.232|0.251	0.998	1.000	0.998	1.000	0.998	5.443	2.650	0.000	
PSMC2	O14802	O14802	1.256|1.727|1.584|1.691	6.258	1.564	4	0.623|0.901|0.857|0.673	0.657	0.983	0.657	0.983	0.657	-9.197	2.074	0.086	
PSMC2	O14818	O14818	1.111|1.407|1.295|0.899	4.712	1.178	4	0.613|1.259|1.864|0.851	0.000	0.000	0.000	0.000	0.000	-13.540	1.120	0.772	
PSMC2	O14828	O14828	2.128|2.257|2.041|2.394	8.820	2.205	4	2.623|1.363|2.825|1.685	0.000	0.000	0.000	0.000	0.000	-12.415	1.086	0.723	
PSMC2	O14867	O14867	0.526|0.856|0.456|0.443	2.282	0.570	4	0.443|0.525|0.551|0.621	0.000	0.000	0.000	0.000	0.000	-14.552	1.074	0.723	
PSMC2	O14874	O14874	1.774|1.489|1.599|1.335	6.197	1.549	4	2.540|2.818|2.544|1.917	0.000	0.000	0.000	0.000	0.000	-14.552	0.637	0.839	
